Title,Year,Release Date,Overview,Keywords
The Host,2006,2006-07-27,"A teenage girl is captured by a giant mutated squid-like creature that appears from Seoul's Han River after toxic waste was dumped in it, prompting her family into a frantic search for her.","daughter, pollution, monster, river, bravery, sewerage, formaldehyde, snack bar, archer, family, asian origins, seoul, south korea, han river"
Repulsion,1965,1965-06-01,"Beautiful young manicurist Carole suffers from androphobia (the pathological fear of interaction with men). When her sister and roommate, Helen, leaves their London flat to go on an Italian holiday with her married boyfriend, Carole withdraws into her apartment. She begins to experience frightful hallucinations, her fear gradually mutating into madness.","london, england, schizophrenia, post-traumatic stress disorder (ptsd), hallucination, rent, loneliness, black and white, psychosis"
Eyes Without a Face,1960,1960-01-11,"Dr. Génessier is riddled with guilt after an accident that he caused disfigures the face of his daughter, the once beautiful Christiane, who outsiders believe is dead. Dr. Génessier, along with accomplice and laboratory assistant Louise, kidnaps young women and brings them to the Génessier mansion. After rendering his victims unconscious, Dr. Génessier removes their faces and attempts to graft them on to Christiane's.","experiment, surgeon, film noir, photograph, scientist, transplant, dove, ulcer"
Funny Games,1997,1997-09-11,"Two psychotic young men take a mother, father, and son hostage in their vacation cabin and force them to play sadistic ""games"" with one another for their own amusement.","lake, sadism, hostage-taking, remote control, breaking the fourth wall, serial killer, psychological thriller, family holiday, golf club, torment, voyeurism, wealthy family, lake house, unpredictable, graphic violence, bottle movie, dark humor"
Peeping Tom,1960,1960-05-16,"Loner Mark Lewis works at a film studio during the day and, at night, takes racy photographs of women. Also he's making a documentary on fear, which involves recording the reactions of victims as he murders them. He befriends Helen, the daughter of the family living in the apartment below his, and he tells her vaguely about the movie he is making.","photography, cinematographer, illegal prostitution, voyeurism, proto-slasher"
The Fly,1986,1986-08-15,"When Seth Brundle makes a huge scientific and technological breakthrough in teleportation, he decides to test it on himself. Unbeknownst to him, a common housefly manages to get inside the device and the two become one.","monster, experiment, mutation, toronto, canada, mutant, transformation, remake, creature, scientist, bodily dismemberment, parasite underneath skin, fly (insect), animal horror, melting, fly/human hybrid, in-home laboratory, body horror"
November,2017,2017-02-03,"In a poor Estonian village, a group of peasants use magic and folk remedies to survive the winter, and a young woman tries to get a young man to love her.","witch, based on novel or book, love triangle, paganism, werewolf, pagan, folklore, estonia"
Rosemary's Baby,1968,1968-06-12,"A young couple, Rosemary and Guy, moves into an infamous New York apartment building, known by frightening legends and mysterious events, with the purpose of starting a family.","husband wife relationship, based on novel or book, satanism, conspiracy, demonic possession, satanic ritual, pregnant wife, coven (akelarre), satanic cult, manhattan, new york city, woman in jeopardy, neighbor neighbor relationship"
Midsommar,2019,2019-07-03,"Several friends travel to Sweden to study as anthropologists a summer festival that is held every ninety years in the remote hometown of one of them. What begins as a dream vacation in a place where the sun never sets, gradually turns into a dark nightmare as the mysterious inhabitants invite them to participate in their disturbing festive activities.","ritual, paranoia, sweden, melancholy, cult, hallucinogenic drug, magic mushroom, anthropology, human sacrifice, paganism, death of family, macabre, boyfriend girlfriend relationship, midsummer, cultural conflict, mysterious, bad trip, folk horror, toxic relationship, midnight sun, isolated community, summer festival, traumatized woman, introspective, violence, ambiguous"
Hour of the Wolf,1968,1968-02-19,"While vacationing on a remote German island with his pregnant wife, an artist has an emotional breakdown while confronting his repressed desires.","island, nightmare, isolation, insanity, artist, diary, castle, insomnia, surrealism, gothic, pregnant wife, voyeurism, breakdown"
Coraline,2009,2009-02-05,"A young girl discovers an idealized parallel universe behind a secret door in her new home, unaware that it contains a sinister secret.","friendship, dream, based on novel or book, villain, eye, stuffed animal, stop motion, parallel world, button, new home, secret door, aftercreditsstinger, duringcreditsstinger, horror for children, talking cat, parallel universe, neil gaiman"
The Rocky Horror Picture Show,1975,1975-08-14,"Sweethearts Brad and Janet, stuck with a flat tire during a storm, discover the eerie mansion of Dr. Frank-N-Furter, a transvestite scientist. As their innocence is lost, Brad and Janet meet a houseful of wild characters, including a rocking biker and a creepy butler. Through elaborate dances and rock songs, Frank-N-Furter unveils his latest creation: a muscular man named 'Rocky'. Harriet then spawns in and says hello and the credits roll!","sexual identity, rock 'n' roll, transvestism, time warp, transylvania, transvestite, group sex, seduction, castle, sex addiction, musical, based on play or musical, cross dressing, homoeroticism, psychotronic, lgbt interest, horror musical"
Halloween,1978,1978-10-24,"Fifteen years after murdering his sister on Halloween Night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again.","mask, police, halloween, babysitter, marijuana, stalking, serial killer, maniac, killing spree, family, evil, psychotic, escaped killer"
What Ever Happened to Baby Jane?,1962,1962-10-12,A former child star torments her paraplegic sister in their decaying Hollywood mansion.,"beach, sibling relationship, based on novel or book, insanity, wheelchair, sister, aging, alcoholism, murder, hollywood, mental illness, invalid, former child star, ice cream, vaudeville, recluse, drunkenness, spinsters, old mansion, piano, sister sister relationship, hagsploitation, psycho-biddy"
Freaks,1932,1932-02-12,"A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance.","infidelity, dwarf, attempted murder, clown, beauty, carnival, revenge, murder, newlywed, pre-code, bigotry, disability, sideshow, told in flashback, speech impediment, trapeze artist, stutterer, deformity, conjoined twins, freak, armless, midgets, midget, bareback rider, legless man, poisoned drink, pseudo-hermaphrodite, bearded lady, microcephalics, human skeleton"
Jaws,1975,1975-06-20,"When the seaside community of Amity finds itself under attack by a dangerous great white shark, the town's chief of police, a young marine biologist, and a grizzled hunter embark on a desperate quest to destroy the beast before it strikes again.","dying and death, beach, based on novel or book, bathing, shipwreck, fishing, atlantic ocean, shark attack, police chief, ferry boat, animal attack, long island, new york, dead child, creature, skinny dipping, shark, great white shark, dead dog, child killed by animal, fourth of july, severed leg, fishing boat, animal horror, shark cage"
Audition,1999,1999-10-06,"Seven years after the death of his wife, widower Shigeharu seeks advice on how to find a new wife from a colleague. Taking advantage of their position as a film company, they stage an audition. Interviewing a series of women, Shigeharu is enchanted by the quiet Asami. But soon things take a twisted turn as Asami isn’t what she seems to be.","sadism, man looking for wife, psychological thriller, torture, pretty woman"
The Innocents,1961,1961-12-15,A young governess for two children becomes convinced that the house and grounds are haunted by ghosts and that the children are being possessed.,"based on novel or book, england, supernatural, haunted house, haunting, possession, black and white, ghost story, governess"
Videodrome,1983,1983-02-04,"As the president of a trashy TV channel, Max Renn is desperate for new programming to attract viewers. When he happens upon ""Videodrome,"" a TV show dedicated to gratuitous torture and punishment, Max sees a potential hit and broadcasts the show on his channel. However, after his girlfriend auditions for the show and never returns, Max investigates the truth behind Videodrome and discovers that the graphic violence may not be as fake as he thought.","suicide, virtual reality, radio presenter, black market, insanity, paranoia, dystopia, toronto, canada, hallucination, surrealism, sadomasochism, cyberpunk, brainwashing, pittsburgh, pennsylvania, snuff film, pirate broadcast, depressed, ridiculous"
Vampyr,1932,1932-05-06,A student of the occult encounters supernatural haunts and local evildoers in a village outside of Paris.,"dream, based on novel or book, vampire, grave, castle, windmill, anemia, black and white, gothic horror, inn, blood transfusion, criterion, traveler"
Hereditary,2018,2018-06-07,"Following the death of Ellen Leigh, the matriarch of their family, her daughter Annie and the rest of the family start to uncover disturbing secrets about their heritage.  Their daily lives are not only impacted, but they also become entangled in a chilling fate from which they cannot escape, driving them to the brink of madness.","daughter, funeral, loss of loved one, ritual, supernatural, possession, cult, dysfunctional family, murder, family drama, fear, demon, attic, evil, ritual murder, satanic ritual, dollhouse, macabre, satanic cult, séance, matriarch, miniatures, ominous, tragic"
One Cut of the Dead,2017,2017-11-04,"Real zombies arrive and terrorize the crew of a zombie film being shot in an abandoned warehouse, said to be the site of military experiments on humans.","film in film, zombie, filmmaking, film shoot"
House,1977,1977-08-26,"Hoping to find a sense of connection to her late mother, Gorgeous takes a trip to the countryside to visit her aunt at their ancestral house. She invites her six friends, Prof, Melody, Mac, Fantasy, Kung Fu, and Sweet, to join her. The girls soon discover that there is more to the old house than meets the eye.","japan, cat, haunted house, house, teenage girl, death, schoolgirl, campy, ghost, piano, independent film, experimental, experimental cinema"
The Wailing,2016,2016-05-12,A stranger arrives in a little village and soon after a mysterious sickness starts spreading. A policeman is drawn into the incident and is forced to solve the mystery in order to save his daughter.,"daughter, small town, police, investigation, exorcism, possession, murder, priest, rural area, curse, shaman, zombie, demon, shrine, macabre, ghost, gluttony, folk horror, grim, acupuncture, divination, anxious, distressing, frightened"
Alien,1979,1979-05-25,"During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed.","android, spacecraft, space marine, biology, dystopia, countdown, space suit, beheading, space travel, cowardice, alien, space, female protagonist, parasite, space opera, cosmos, xenomorph"
At Midnight I'll Take Your Soul,1964,1964-11-09,"Zé do Caixão is an undertaker in a small Brazilian town, searching for the perfect woman to bear him a superior child. Unable to conceive with his wife, he kills her and sets out to find someone else.","witch, peasant"
The Witch,2015,2016-02-19,"In 1630, a farmer relocates his family to a remote plot of land on the edge of a forest where strange, unsettling things happen. With suspicion and paranoia mounting, each family member's faith, loyalty and love are tested in shocking ways.","witch, isolation, magic, possession, black magic, older woman seduces younger guy, new hampshire, woods, goat, puritan, religion, crying, false accusations, witchcraft, new england, praying, 17th century, folk horror, evil force, corruption of a minor, english colony"
Diabolique,1955,1955-01-29,"The cruel and abusive headmaster of a boarding school, Michel Delassalle, is murdered by an unlikely duo -- his meek wife and the mistress he brazenly flaunts. The women become increasingly unhinged by a series of odd occurrences after Delassalle's corpse mysteriously disappears.","wife, lover (female), morgue, swimming pool, gay interest, teacher, plan gone wrong, mistress, biting, french noir, boys' boarding school, headmaster, philanderer, mischievous children, missing body, abusive husband, abused wife, wicker trunk, frightened woman"
Little Shop of Horrors,1986,1986-12-19,"Seymour Krelborn is a nerdy orphan working at Mushnik's, a flower shop in urban Skid Row. He harbors a crush on fellow co-worker Audrey Fulquard, and is berated by Mr. Mushnik daily. One day Seymour finds a very mysterious unidentified plant which he calls Audrey II. The plant seems to have a craving for blood and soon begins to sing for his supper.","assistant, investigation, solar eclipse, florist, aggression, nerd, bloodthirstiness, plant, success, musical, based on play or musical, blonde, carnivorous plant, laughing gas, remake, crush, animated scene, puppetry, creature, motorcycle, eclipse, dentist, death, bum, killer plant, homoeroticism, skid row, based on movie, plant food, inept assistant, man eating plant, dying in arms, horror musical"
Re-Animator,1985,1985-10-18,"Conducting clandestine experiments within the morgue at Miskatonic University, scientist Herbert West reveals to a fellow graduate student his groundbreaking work concerning the re-animation of fresh corpses.","experiment, insanity, overdose, black humor, mad scientist, decapitation, reanimation, laboratory, severed head, hospital, zombie, intestines, death, black cat, based on short story, dead cat, surgical operation, reanimated corpse, medical student, medical school"
King Kong,1933,1933-03-15,"Adventurous filmmaker Carl Denham sets out to produce a motion picture unlike anything the world has seen before. Alongside his leading lady Ann Darrow and his first mate Jack Driscoll, they arrive on an island and discover a legendary creature said to be neither beast nor man. Denham captures the monster to be displayed on Broadway as King Kong, the eighth wonder of the world.","new york city, ship, exotic island, island, unsociability, screenplay, movie business, great depression, dinosaur, black and white, pre-code, sea voyage, damsel in distress, empire state building, giant ape, animal horror, great ape, king kong"
The Texas Chain Saw Massacre,1974,1974-10-11,A group of five young friends face a nightmare of torment at the hands of a depraved Texas clan.,"van, gas station, sadistic, texas, midnight movie, leatherface, hitchhiker, slaughterhouse, chainsaw, cannibal, family, polaroid, grave robber, cannibalism, vacation gone wrong, one day"
Suspiria,1977,1977-02-01,An American newcomer to a prestigious German ballet academy comes to realize that the school is a front for something sinister amid a series of grisly murders.,"witch, boarding school, germany, ballet, whodunit, young woman, gothic, evil, coven (akelarre), ballet school, dance school, dance academy"
Take Shelter,2011,2011-09-30,"Plagued by a series of apocalyptic visions, a young husband and father questions whether to shelter his family from a coming storm, or from himself.","small town, beach, schizophrenia, nightmare, obsession, deaf, ohio, shelter, end of the world, premonition, sanity, apocalypse, storm, mental illness, construction worker, bank loan, storm shelter, apocalyptic vision"
The Wolf House,2018,2018-09-26,"María, a girl from Colonia Dignidad, in Chile —a kind of sectarian community, tyrannically mastered by the ruthless Paul Schäfer, a German madman, religious fanatic and child predator, who would end up turning the place into a torture center at the service of the military dictatorship ruled by Augusto Pinochet—, is punished for having lost three pigs, so she decides to run away and take refuge in an abandoned house hidden in the forest.","germany, chile, pinochet regime, stop motion, military dictatorship, adult animation, colonia dignidad"
Beetlejuice,1988,1988-03-30,A newly dead New England couple seek help from a deranged demon exorcist to scare an affluent New York family out of their home.,"skeleton, afterlife, calypso, supernatural, arts, halloween, haunted house, minister, possession, giant snake, surrealism, child bride, teenage girl, gothic, death, madness, dead, ghost, property"
The Devil's Backbone,2001,2001-04-20,"Spain, 1939. In the last days of the Spanish Civil War, the young Carlos arrives at the Santa Lucía orphanage, where he will make friends and enemies as he follows the quiet footsteps of a mysterious presence eager for revenge.","spain, orphanage, spanish civil war (1936-39), gothic horror, ghost, political repression, 1930s, isolated place, supernatural being, ghost child"
The Phantom Carriage,1921,1921-01-01,"An alcoholic, abusive ne'er-do-well is shown the error of his ways through a legend that dooms the last person to die on New Year's Eve before the clock strikes twelve to take the reins of Death's chariot and work tirelessly collecting fresh souls for the next year.","new year's eve, based on novel or book, fight, poison, cemetery, phantom, flashback, consumerism, dying wish, alcoholic, death, silent film, tuberculosis, carriage, story within the story, salvation army, deathbed, salvation, abused wife"
The Phantom of the Opera,1925,1925-09-22,The deformed Phantom who haunts the Paris Opera House causes murder and mayhem in an attempt to make the woman he loves a star.,"opera, paris, france, based on novel or book, diva, phantom, outcast, tragedy, unrequited love, black and white, gothic horror, captive, silent film, opera house, secret admirer, protégé, literary adaptation, ballet performance, phantom of the opera"
The Lighthouse,2019,2019-10-18,Two lighthouse keepers try to maintain their sanity while living on a remote and mysterious New England island in the 1890s.,"island, nightmare, isolation, mermaid, hallucination, lighthouse, lighthouse keeper   , gay interest, storm, male masturbation, new england, madness, drunkenness, 19th century, isolated island, one location"
Carrie,1976,1976-11-03,"An awkward, telekinetic teenage girl's lonely life is dominated by relentless bullying at school and an oppressive religious fanatic mother at home. When her tormentors pull a humiliating prank at the senior prom, she unleashes a horrifying chaos on everyone, leaving nothing but destruction in her wake.","high school, child abuse, based on novel or book, isolation, cemetery, stage, bible, telekinesis, teacher, revenge, unrequited love, prom, religion, teenage girl, school, cruelty, rage, humiliation, crucifix, praying, outsider, taunting, abusive mother, firestorm, religious horror, mother daughter relationship, supernatural horror, school bullying"
Get Out,2017,2017-02-24,"Chris and his girlfriend Rose go upstate to visit her parents for the weekend. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he never could have imagined.","kidnapping, externally controlled action, manipulation, dark comedy, hypnosis, parents-in-law, satire, racist, revenge, interracial relationship, disappearance, racism, psychological thriller, neurosurgeon, missing person, stereotype, brain surgery, race-conscious, pretentious"
Ghostbusters,1984,1984-06-08,"After losing their academic posts at a prestigious university, a team of parapsychologists goes into business as proton-pack-toting ""ghostbusters"" who exterminate ghouls, hobgoblins and supernatural pests of all stripes. An ad campaign pays off when a knockout cellist hires the squad to purge her swanky digs of demons that appear to be living in her refrigerator.","new york city, environmental protection agency, library, supernatural, paranormal phenomena, loser, slime, gatekeeper, nerd, giant monster, haunting, hybrid, possession, mythology, horror spoof, paranormal investigation, urban setting, super power, receptionist, world trade center, ghost, duringcreditsstinger, ghostbusters, admiring"
Häxan,1922,1922-09-18,"Grave robbing, torture, possessed nuns, and a satanic Sabbath: Benjamin Christensen's legendary film uses a series of dramatic vignettes to explore the scientific hypothesis that the witches of the Middle Ages suffered the same hysteria as turn-of-the-century psychiatric patients. But the film itself is far from serious-- instead it's a witches' brew of the scary, gross, and darkly humorous.","witch, superstition, insanity, mystic, sorcery, hysteria, satan, torture, devil, demon, witchcraft, mental illness, middle ages (476-1453), silent film, satanic ritual, love potion, spellcasting, burned at the stake, folk horror, accusation, nervous disorder"
The Silence of the Lambs,1991,1991-02-14,"Clarice Starling is a top student at the FBI's training academy.  Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism.  Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.","based on novel or book, kidnapping, psychopath, fbi, murder, serial killer, psychological thriller, brutality, cannibal, moth, virginia, neo-noir"
Dawn of the Dead,1978,1978-09-02,"During an ever-growing epidemic of zombies that have risen from the dead, two Philadelphia SWAT team members, a traffic reporter, and his television-executive girlfriend seek refuge in a secluded shopping mall.","helicopter, army, chaos, bite, materialism, machete, gore, martial law, state of emergency, shopping mall, infection, biker, truck, consumerism, zombie, motorcycle gang, exploding head, mall, tv production, zombie apocalypse, pittsburgh, pennsylvania"
Invasion of the Body Snatchers,1978,1978-12-20,"The residents of San Francisco are becoming drone-like shadows of their former selves, and as the phenomenon spreads, two Department of Health workers uncover the horrifying truth.","based on novel or book, san francisco, california, 1970s, psychoanalysis, alien, remake, apocalypse, alien invasion, alien infection, epidemic, biologist, doppelgänger"
Mother Joan of the Angels,1961,1961-02-09,"A Polish priest arrives at a convent hoping to save the Mother Superior, who is supposedly possessed by eight demons.","nun, possession, devil"
Let the Right One In,2008,2008-10-24,"Set in 1982 in the suburb of Blackeberg, Stockholm, twelve-year-old Oskar is a lonely outsider, bullied at school by his classmates; at home, Oskar dreams of revenge against a trio of bullies. He befriends his twelve-year-old, next-door neighbor Eli, who only appears at night in the snow-covered playground outside their building.","based on novel or book, vampire, sweden, bullying, castration, bully, child vampire, murder, androgyny, new neighbor, young love"
Battle Royale,2000,2000-12-16,"In the future, the Japanese government captures a class of ninth-grade students and forces them to kill each other under the revolutionary ""Battle Royale"" act.","high school, friendship, suicide, island, japan, based on novel or book, asia, dystopia, gore, survival, tragedy, murder, soldier, battle, death, death match, school class, japanese, extreme violence, psychological, science fiction, students, suspense, death game"
Don't Look Now,1973,1973-01-18,"While grieving a terrible loss, a married couple meet two mysterious sisters, one of whom gives them a message sent from the afterlife.","husband wife relationship, based on novel or book, venice, italy, funeral, loss of loved one, supernatural, hallucination, gondola, ladder, premonition, hospital, architecture, psychic, mental illness, reading, grieving, church restoration"
Blood and Black Lace,1964,1964-04-10,"Isabella, a young model, is murdered by a mysterious masked figure at a fashion house in Rome. When her diary, which details the house employees many vices, disappears, the masked killer begins killing off all the models in and around the house to find it.","blackmail, murder, whodunit, model, killer, giallo"
Psycho,1960,1960-06-22,"When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother.","hotel, clerk, shower, arizona, motel, stolen money, taxidermy, money, secretary, corpse, murderer, theft, mental illness, private detective, missing person, psycho, voyeurism, voyeur, oedipus complex, double identity, proto-slasher, mother son relationship, birds, whodunnit, woman on the run, corruptibility, confused identities, human vulnerabilities"
Tetsuo: The Iron Man,1989,1989-07-01,"A ""metal fetishist"", driven mad by the maggots wriggling in the wound he's made to embed metal into his flesh, runs out into the night and is accidentally run down by a Japanese businessman and his girlfriend. The pair dispose of the corpse in hopes of quietly moving on with their lives. However, the businessman soon finds that he is now plagued by a vicious curse that transforms his flesh into iron.","dystopia, transformation, fetishism, gore, cyberpunk, ominous"
